,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment
502,75064248,06-0438,75651126,Male,Neurod2,56.0,coronal,ISH
503,75064045,06-0441,75651162,Male,Zfpm2,56.0,coronal,ISH
504,70101652,05-2130,70813925,Male,Parvg,56.0,coronal,ISH
505,72172843,05-3434,74047904,Male,Nedd4l,56.0,coronal,ISH
506,79322568,335-1082,79488955,Male,Avpr1b,56.0,coronal,ISH
507,77281682,07-0023,77371821,Male,Sstr2,56.0,coronal,ISH
508,75819066,06-0704,76135740,Male,Nfxl1,56.0,coronal,ISH
509,75819045,06-0707,76135815,Male,Pknox2,56.0,coronal,ISH
510,75720903,06-0667,76085742,Male,Nlk,56.0,coronal,ISH
511,79355679,335-1139,79591689,Male,Ube3a,56.0,coronal,ISH
512,75195283,06-0496,75888749,Male,Gabrp,56.0,coronal,ISH
513,75448844,06-0606,75988621,Male,Rock2,56.0,coronal,ISH
514,75180161,06-0479,75749783,Male,Parm1,56.0,coronal,ISH
515,75195198,06-0491,75826567,Male,Chrna5,56.0,coronal,ISH
516,75180145,06-0477,75749739,Male,Crtac1,56.0,coronal,ISH
517,75180145,06-0477,75749751,Male,Grik1,56.0,coronal,ISH
518,75078679,06-0459,75749417,Male,Gabre,56.0,coronal,ISH
519,75064058,06-0443,75651181,Male,Lgals1,56.0,coronal,ISH
520,75064058,06-0443,75651213,Male,Chrna6,56.0,coronal,ISH
521,75063998,06-0431,75551469,Male,Gabrg1,56.0,coronal,ISH
522,70858152,05-2633,71670691,Male,Tox,56.0,coronal,ISH
523,75720903,06-0667,76085744,Male,Pbx3,56.0,coronal,ISH
524,75448857,06-0608,75988666,Male,Ltk,56.0,coronal,ISH
525,75078577,06-0445,75651225,Male,Laptm4b,56.0,coronal,ISH
526,75064301,06-0442,75651180,Male,Spp1,56.0,coronal,ISH
527,74865107,06-0318,75042261,Male,Qdpr,56.0,coronal,ISH
528,74834097,06-0308,75041464,Male,Lrrn3,56.0,coronal,ISH
529,74834111,06-0309,75041513,Male,Tiam2,56.0,coronal,ISH
530,74833938,06-0305,75038443,Male,St18,56.0,coronal,ISH
531,74785070,06-0297,74988738,Male,Ubtf,56.0,coronal,ISH
532,74785054,06-0289,74988460,Male,Nkx2-1,56.0,coronal,ISH
533,74784869,06-0294,74988637,Male,Selplg,56.0,coronal,ISH
534,74703383,06-0253,74881889,Male,Bche,56.0,coronal,ISH
535,74703375,06-0268,74957897,Male,Top1,56.0,coronal,ISH
536,74703367,06-0264,74882765,Male,Ptk7,56.0,coronal,ISH
537,74641355,06-0234,74881161,Male,Wfs1,56.0,coronal,ISH
538,74703345,06-0258,74882459,Male,Ddr2,56.0,coronal,ISH
539,74703362,06-0262,74882646,Male,Kcnj12,56.0,coronal,ISH
540,74657066,06-0247,74881517,Male,Apc,56.0,coronal,ISH
541,73652012,05-3726,74586666,Male,Nkd1,56.0,coronal,ISH
542,45835,04-0071,104825,Male,Nfix,56.0,coronal,ISH
